"","commodities","freq_bought","freq_boughtwitheggs","prob_boughtwitheggs"
"1","FLUID MILK PRODUCTS","11225","2339","0.20837416481069"
"2","REFRGRATD JUICES/DRNKS","3732","922","0.247052518756699"
"3","CAKES","639","85","0.13302034428795"
"4","ICE CREAM/MILK/SHERBTS","3467","478","0.137871358523219"
"5","BAG SNACKS","8443","1058","0.125310908444866"
"6","TROPICAL FRUIT","4424","1122","0.253616636528029"
"7","COOKIES","599","90","0.15025041736227"
"8","EGGS","3771","3679","0.975603288252453"
"9","REFRGRATD DOUGH PRODUCTS","2615","678","0.259273422562141"
"10","BEEF","6169","1191","0.193062084616632"
"11","CHEESE","10103","1717","0.169949519944571"
"12","MEAT - SHELF STABLE","3019","515","0.17058628684995"
"13","BACON","1466","606","0.413369713506139"
"14","FROZEN PIZZA","5610","702","0.125133689839572"
"15","SALD DRSNG/SNDWCH SPRD","2475","574","0.231919191919192"
"16","LUNCHMEAT","4572","803","0.175634295713036"
"17","BEERS/ALES","2281","266","0.116615519508987"
"18","WATER - CARBONATED/FLVRD DRINK","2713","447","0.164762255805382"
"19","SOFT DRINKS","13750","1279","0.0930181818181818"
"20","ISOTONIC DRINKS","1276","137","0.107366771159875"
"21","BREAKFAST SWEETS","1226","175","0.142740619902121"
"22","BAKED BREAD/BUNS/ROLLS","10563","1935","0.18318659471741"
"23","MEAT - MISC","1203","340","0.28262676641729"
"24","PORK","1776","501","0.282094594594595"
"25","MARGARINES","1861","696","0.373992477162816"
"26","COLD CEREAL","4687","935","0.199487945380841"
"27","CANNED JUICES","4009","721","0.179845347967074"
"28","FROZEN BREAD/DOUGH","1055","252","0.238862559241706"
"29","VEGETABLES SALAD","1243","344","0.276749798873693"
"30","STONE FRUIT","632","147","0.232594936708861"
"31","VEGETABLES - ALL OTHERS","2540","625","0.246062992125984"
"32","POTATOES","2057","635","0.308701993193972"
"33","MELONS","404","122","0.301980198019802"
"34","COOKIES/CONES","2737","514","0.187796857873584"
"35","BERRIES","843","203","0.240806642941874"
"36","BIRD SEED","33","5","0.151515151515152"
"37","SEAFOOD - FROZEN","1127","288","0.255545696539485"
"38","DRY SAUCES/GRAVY","1153","266","0.230702515177797"
"39","HOT DOGS","1353","350","0.258684405025868"
"40","DELI MEATS","3091","543","0.175671303785183"
"41","GRAPES","1311","318","0.242562929061785"
"42","CITRUS","1349","330","0.244625648628614"
"43","APPLES","1796","425","0.236636971046771"
"44","TEAS","478","115","0.240585774058577"
